mu,F,F',F''
0,0,0,0.332057
0.1,0.00166029,0.0332055,0.332048
0.2,0.006641,0.0664077,0.331984
0.3,0.0149415,0.0995985,0.331809
0.4,0.0265599,0.132764,0.33147
0.5,0.0414928,0.165885,0.330911
0.6,0.0597346,0.198937,0.330079
0.7,0.0812769,0.23189,0.328922
0.8,0.106108,0.264709,0.327389
0.9,0.134213,0.297354,0.325432
1,0.165572,0.32978,0.323007
1.1,0.20016,0.361938,0.320071
1.2,0.237949,0.393776,0.316589
1.3,0.278903,0.425237,0.312529
1.4,0.322981,0.456261,0.307865
1.5,0.370138,0.486789,0.30258
1.6,0.42032,0.516756,0.296663
1.7,0.473469,0.5461,0.290111
1.8,0.529518,0.574758,0.282931
1.9,0.588395,0.602666,0.275136
2,0.650024,0.629765,0.266751
2.1,0.714319,0.655998,0.257809
2.2,0.781193,0.68131,0.248351
2.3,0.850549,0.705652,0.238426
2.4,0.922289,0.728981,0.228092
2.5,0.99631,0.751259,0.217411
2.6,1.07251,0.772454,0.206455
2.7,1.15076,0.792543,0.195294
2.8,1.23098,0.811509,0.184007
2.9,1.31303,0.829343,0.172669
3,1.39681,0.846044,0.16136
3.1,1.4822,0.861618,0.150155
3.2,1.56909,0.876081,0.139128
3.3,1.65738,0.889452,0.128347
3.4,1.74695,0.90176,0.117876
3.5,1.8377,0.91304,0.107773
3.6,1.92952,0.923329,0.0980863
3.7,2.02233,0.932672,0.0888594
3.8,2.11603,0.941117,0.080126
3.9,2.21053,0.948715,0.0719118
4,2.30574,0.955517,0.0642342
4.1,2.40161,0.96158,0.0571029
4.2,2.49804,0.966956,0.0505199
4.3,2.59498,0.971702,0.0444802
4.4,2.69236,0.97587,0.0389727
4.5,2.79013,0.979514,0.033981
4.6,2.88825,0.982683,0.0294839
4.7,2.98665,0.985426,0.0254566
4.8,3.08532,0.987789,0.0218713
4.9,3.1842,0.989814,0.0186984
5,3.28327,0.991541,0.0159069
5.1,3.3825,0.993007,0.0134652
5.2,3.48186,0.994245,0.0113419
5.3,3.58134,0.995285,0.00950604
5.4,3.68092,0.996155,0.00792778
5.5,3.78057,0.996878,0.00657871
5.6,3.88029,0.997477,0.00543207
5.7,3.98006,0.99797,0.00446297
5.8,4.07988,0.998375,0.00364851
5.9,4.17973,0.998705,0.00296783
6,4.27962,0.998972,0.00240212
6.1,4.37953,0.999188,0.00193456
6.2,4.47945,0.999362,0.00155024
6.3,4.5794,0.999501,0.00123608
6.4,4.67935,0.999611,0.000980672
6.5,4.77932,0.999698,0.00077416
6.6,4.87929,0.999767,0.000608089
6.7,4.97927,0.999821,0.000475262
6.8,5.07926,0.999863,0.000369597
6.9,5.17924,0.999896,0.000285992
7,5.27923,0.999921,0.000220195
7.1,5.37923,0.99994,0.000168691
7.2,5.47922,0.999955,0.000128589
7.3,5.57922,0.999966,9.75316e-05
7.4,5.67922,0.999975,7.36066e-05
7.5,5.77921,0.999981,5.52735e-05
7.6,5.87921,0.999986,4.12997e-05
7.7,5.97921,0.99999,3.07048e-05
7.8,6.07921,0.999992,2.27141e-05
7.9,6.17921,0.999994,1.67191e-05
8,6.27921,0.999996,1.22451e-05
8.1,6.37921,0.999997,8.9236e-06
8.2,6.47921,0.999997,6.47065e-06
8.3,6.57921,0.999998,4.66859e-06
8.4,6.67921,0.999998,3.35161e-06
8.5,6.77921,0.999999,2.39415e-06
8.6,6.87921,0.999999,1.70168e-06
8.7,6.97921,0.999999,1.20348e-06
8.8,7.07921,0.999999,8.46888e-07
8.9,7.17921,0.999999,5.92987e-07
9,7.27921,0.999999,4.13138e-07
9.1,7.37921,0.999999,2.86402e-07
9.2,7.47921,0.999999,1.97555e-07
9.3,7.57921,0.999999,1.35591e-07
9.4,7.67921,0.999999,9.25986e-08
9.5,7.77921,0.999999,6.29231e-08
9.6,7.87921,0.999999,4.25449e-08
9.7,7.97921,0.999999,2.86231e-08
9.8,8.07921,0.999999,1.91609e-08
9.9,8.17921,0.999999,1.27629e-08
10,8.27921,0.999999,8.45892e-09
10.1,8.37921,0.999999,5.57844e-09
10.2,8.47921,0.999999,3.66053e-09
10.3,8.57921,0.999999,2.39005e-09
10.4,8.67921,0.999999,1.55276e-09
10.5,8.77921,0.999999,1.00377e-09
10.6,8.87921,0.999999,6.45651e-10
10.7,8.97921,0.999999,4.13234e-10
10.8,9.07921,0.999999,2.63165e-10
10.9,9.17921,0.999999,1.66761e-10
11,9.27921,0.999999,1.05147e-10
11.1,9.37921,0.999999,6.59681e-11
11.2,9.47921,0.999999,4.11819e-11
11.3,9.57921,0.999999,2.55808e-11
11.4,9.67921,0.999999,1.5811e-11
11.5,9.77921,0.999999,9.7239e-12
11.6,9.87921,0.999999,5.95057e-12
11.7,9.9792,0.999999,3.62338e-12
11.8,10.0792,0.999999,2.19537e-12
11.9,10.1792,0.999999,1.32355e-12
12,10.2792,0.999999,7.93979e-13
12.1,10.3792,0.999999,4.73934e-13
12.2,10.4792,0.999999,2.81492e-13
12.3,10.5792,0.999999,1.66362e-13
12.4,10.6792,0.999999,9.78328e-14
12.5,10.7792,0.999999,5.72473e-14
12.6,10.8792,0.999999,3.33324e-14
12.7,10.9792,0.999999,1.93117e-14
12.8,11.0792,0.999999,1.11331e-14
12.9,11.1792,0.999999,6.38642e-15
13,11.2792,0.999999,3.64537e-15
13.1,11.3792,0.999999,2.07048e-15
13.2,11.4792,0.999999,1.17016e-15
13.3,11.5792,0.999999,6.58058e-16
13.4,11.6792,0.999999,3.6824e-16
13.5,11.7792,0.999999,2.05043e-16
13.6,11.8792,0.999999,1.13608e-16
13.7,11.9792,0.999999,6.26352e-17
13.8,12.0792,0.999999,3.4362e-17
13.9,12.1792,0.999999,1.87582e-17
14,12.2792,0.999999,1.01895e-17
14.1,12.3792,0.999999,5.50767e-18
14.2,12.4792,0.999999,2.96234e-18
14.3,12.5792,0.999999,1.58547e-18
14.4,12.6792,0.999999,8.44374e-19
14.5,12.7792,0.999999,4.47474e-19
14.6,12.8792,0.999999,2.35971e-19
14.7,12.9792,0.999999,1.23825e-19
14.8,13.0792,0.999999,6.46568e-20
14.9,13.1792,0.999999,3.35956e-20
15,13.2792,0.999999,1.73705e-20
15.1,13.3792,0.999999,8.93724e-21
15.2,13.4792,0.999999,4.57571e-21
15.3,13.5792,0.999999,2.3312e-21
15.4,13.6792,0.999999,1.18186e-21
15.5,13.7792,0.999999,5.96241e-22
15.6,13.8792,0.999999,2.99327e-22
15.7,13.9792,0.999999,1.49534e-22
15.8,14.0792,0.999999,7.43372e-23
15.9,14.1792,0.999999,3.67744e-23
16,14.2792,0.999999,1.81034e-23
16.1,14.3792,0.999999,8.86851e-24
16.2,14.4792,0.999999,4.32334e-24
16.3,14.5792,0.999999,2.09734e-24
16.4,14.6792,0.999999,1.01251e-24
16.5,14.7792,0.999999,4.86419e-25
16.6,14.8792,0.999999,2.32546e-25
